Annotations,Reviews,Reviews_Cleaned,Annotator2,Annotator1,Final_Annotation
-1/0,"Ok Atmosphere, ok food, but simple requests for our 11 and 3 year old kids (chicken, curry and rice not possible without curry) were not met and finally the food for the kids was served half an hour before the food for the adults, so that the kids were unhappily waiting for us to finish. Ramen only average.",ok atmosphere ok food but simple request for our and year old kid chicken curry and rice not possible without curry were not met and finally the food for the kid wa served half an hour before the food for the adult so that the kid were unhappily waiting for u to finish ramen only average,-1,0,0
-1/0,"Hard to imagine, a cafe/konditori in Sweden that runs out of cinnamon rolls by mid-afternoon, so the visit started out with some dissatisfaction. The other options were, however, enough to appease me somewhat. A solid offering of chocolates, baked goods, and savory sandwiches, but when you enter with the intention of one of those large Haga cinnamon rolls, everything else is a slight disappointment....",hard to imagine cafe konditori in sweden that run out of cinnamon roll by mid afternoon so the visit started out with some dissatisfaction the other option were however enough to appease me somewhat solid offering of chocolate baked good and savory sandwich but when you enter with the intention of one of those large haga cinnamon roll everything else is slight disappointment,-1,0,0
-1/0,"The main course was not upto the mark, and a bit suited for more foreign crowd.",the main course wa not upto the mark and bit suited for more foreign crowd,-1,0,0
-1/1,its a nice place since it's a trend on social media and it's all about tiktok and taking videos or photos .The breakfast it self was good but it's not worth for money (Im sure they are targeting tourists) however each additional item is to be added in the bill. or sometimes they just give you additional items which you don't order just to add it in your bill.,it nice place since it is trend on social medium and it is all about tiktok and taking video or photo the breakfast it self wa good but it is not worth for money im sure they are targeting tourist however each additional item is to be added in the bill or sometimes they just give you additional item which you do not order just to add it in your bill,-1,1,1
-1/0,"Too much cheese - too little loveNice place, nice interior But the meatpie had way too much cheese, was not really hot No one had cared about the pie - if they had they would not have served it",too much cheese too little lovenice place nice interior but the meatpie had way too much cheese wa not really hot no one had cared about the pie if they had they would not have served it,-1,0,0
-1/0,"The environment and the service is OK but nothing ""extra"" ",the environment and the service is ok but nothing extra,-1,0,0
-1/0,"Much worse service, food was OK",much worse service food wa ok,-1,0,0
-1/1,"The service was generally good, and the menu offered was quite varied, especially the appetizers and salads, all which were very tasty. My husband enjoyed the salmon for his main course. I opted for the eggs but they were served with very oily potatoes so I didn't care for this particular dish. The dessert was delicious.",the service wa generally good and the menu offered wa quite varied especially the appetizer and salad all which were very tasty my husband enjoyed the salmon for his main course opted for the egg but they were served with very oily potato so did not care for this particular dish the dessert wa delicious,-1,1,1
-1/1,Great food and service just in a bad area which isn't their fault.,great food and service just in bad area which is not their fault,-1,1,1
-1/0,Totally OVERPRICED!!! After a mediocre meal and 3 (!!!!) bottles of wine we asked for 2 tequila. They cost 26€!!! When I asked the manager about this he argued we drank the cheapest wine. He was very unfriendly. Cannot recommend this place at all !,totally overpriced after mediocre meal and bottle of wine we asked for tequila they cost when asked the manager about this he argued we drank the cheapest wine he wa very unfriendly can not recommend this place at all,-1,0,0
-1/1,Service outstanding but the food!! Amazingly high quality and unbelievable good value.,service outstanding but the food amazingly high quality and unbelievable good value,-1,1,1
-1/0,"Was about to go in and eat just as one of the cooks came out and shot two snot rockets into the parking lot before heading back into the kitchen... Did he wash his hands? Whose to say, but I will not be finding out.",wa about to go in and eat just a one of the cook came out and shot two snot rocket into the parking lot before heading back into the kitchen did he wash his hand whose to say but will not be finding out,-1,0,0
-1/0,Service was pleasant but slow and the two main courses came five long minutes apart very annoying when it was not busy.,service wa pleasant but slow and the two main course came five long minute apart very annoying when it wa not busy,-1,0,0
-1/0,"We went to the tango show and it was not good at all, a man was singing all the time, not a lot of tango and it was pretty vulgar, big disappointment....On the top of that the food was really not terrible ...A place for tourist with big prices that are not worth it!",we went to the tango show and it wa not good at all man wa singing all the time not lot of tango and it wa pretty vulgar big disappointment on the top of that the food wa really not terrible place for tourist with big price that are not worth it,-1,0,0
-1/1,"The reason why Taipan Building is most attractive to me is that it specially selects local high-quality ingredients and self-made sauce stock to cook each dish, giving people a different, real and unflavored. It feels, coupled with the low-key and concise style of decoration, favoring the positioning of private kitchens.",the reason why taipan building is most attractive to me is that it specially selects local high quality ingredient and self made sauce stock to cook each dish giving people different real and unflavored it feel coupled with the low key and concise style of decoration favoring the positioning of private kitchen,-1,1,1
-1/1,"I had the most delicious fish for lunch. Included was salad, mineral water and coffee. It's a classic hotel just near the railway. Friendly and professional staff.",had the most delicious fish for lunch included wa salad mineral water and coffee it is classic hotel just near the railway friendly and professional staff,-1,1,1
-1/0,"The ambiance is ok, the service is slightly slow and the food just a bit above average",the ambiance is ok the service is slightly slow and the food just bit above average,-1,0,0
